"","Country","Goal 1","Goal 2","Goal 3","Goal 4","Goal 5","Goal 6","Goal 7","Goal 8","Goal 9","Goal 10","Goal 11","Goal 12","Goal 13","Goal 14","Goal 15","Goal 16","Goal 17"
"52","Estonia",0.00689749680248493,0.00123332724282843,0.00653206650831354,0.0105517997441988,0.00388269687557098,0.00342590900785675,0.00392837566234241,0.00758267860405628,0.00616663621414215,0.00479627261099945,0.00717156952311347,0.00516170290517084,0.00429380595651379,0.00132468481637128,0.0021469029782569,0.00589256349351361,0.00497898775808514
"53","Eswatini",0.0118732972797137,0.00532671898507705,0.00378156385963486,0.00689220509901191,0.00254137356158256,0.00842719473020778,0.00472695482454357,0.011049892245761,0.00644492335217338,0.00506241613467247,0.00556052535274265,0.00548936689301834,0.0108465823608344,0.000650591631765136,0.00340544057252064,0.00565201480095962,0.00624161346724678
"54","Ethiopia",0.00434397163120567,0.0048758865248227,0.0036790780141844,0.0036790780141844,0.00226063829787234,0.00310283687943262,0.00345744680851064,0.00598404255319149,0.0126329787234043,0.00465425531914894,0.00567375886524823,0.00310283687943262,0.00438829787234043,0.00048758865248227,0.00301418439716312,0.00735815602836879,0.00695921985815603
"55","Fiji",0.00432590963248098,0.00566400879846027,0.00449088076253322,0.00848684813490972,0.0039043167445697,0.00775364311245532,0.00582897992851251,0.00511410503161947,0.007533681605719,0.00265786820639721,0.0072587297222986,0.00375767574007882,0.00815690587480524,0.00370268536339474,0.00368435523783338,0.00524241591054899,0.00414260837686738
"56","Finland",0.00491330653347951,0.00592845251147115,0.00263937954277825,0.010313883136395,0.00377634303812888,0.00272059122101758,0.00718723352418078,0.00613148170706948,0.00487270069435985,0.00239574450806026,0.00345149632517156,0.0191659560644821,0.00897389044544606,0.000487270069435985,0.0063345109026678,0.00410118975108621,0.00743086855889877
"57","France",0.00119000396667989,0,0,0,0,0.00317334391114637,0.0162633875446251,0.00277667592225307,0.00595001983339944,0.000793335977786593,0.00158667195557319,0.00753669178897263,0.0170567235224117,0.00595001983339944,0.00198333994446648,0.00238000793335978,0.00158667195557319
"58","Gabon",0.00301638034358769,0.00407510986815821,0.00319616460247703,0.00437475029964043,0.00173791450259688,0.00615261685976828,0.0033359968038354,0.0045145825009988,0.00603276068717539,0.00215741110667199,0.00323611666000799,0.00411506192568917,0.00211745904914103,0.00431482221334399,0.0047343188174191,0.00321614063124251,0.00353575709149021
"59","Gambia, The",0.0057660497487594,0.00564120970007178,0.00473611934708655,0.00811460316469523,0.00443962423145345,0.00503261446271964,0.00404949907930464,0.00745919290908523,0.00511844199619238,0.0042913766736369,0.00427577166755095,0.00355013888455417,0.00443962423145345,0.00260603601635405,0.00284011110764333,0.00585967978527512,0.00664773259261571
"60","Georgia",0.0083837005264184,0.0045817898225775,0.00404562292844609,0.00658023006434003,0.00175472801715734,0.00331448625463053,0.00638526028465588,0.0108208227724703,0.00833495808149737,0.00492298693702476,0.00321700136478846,0.00346071358939364,0.00341197114447261,0.00107233378826282,0.00141353090271008,0.00526418405147202,0.00736010918307662
"61","Germany",0.00538456095662634,0.00314865916648978,0.00195995188565768,0.00434444208589825,0.00421708059152338,0.00364395386683648,0.00642467982735442,0.00786103445835987,0.0039057524941626,0.00262506191183754,0.0040189627113847,0.00770537040967947,0.00721007570933277,0.00273119649048327,0.00418877803721786,0.00372178589117668,0.00529257765513338
"62","Ghana",0.00247000705716302,0.000705716302046577,0.000176429075511644,0.0031757233592096,0.000176429075511644,0.00211714890613973,0.00123500352858151,0.00105857445306987,0.00617501764290755,0.00211714890613973,0.000529287226534933,0.000882145377558222,0.00247000705716302,0,0.000529287226534933,0.00511644318983769,0.00793930839802399
"63","Greece",0.00593406188378822,0.00245102556069513,0.00215616534286715,0.00558391537511748,0.0010504395260122,0.00560234413873173,0.00628420839245895,0.0139137165287581,0.00643163850137294,0.00455190461271953,0.00379632530453532,0.0051416250483755,0.00237731050623814,0.00226673792455264,0.00129001345299744,0.00709507399148591,0.00558391537511748
"64","Grenada",0.00757010342253972,0.00356419356312735,0.00667143923354607,0.0120329611746607,0.00747871384399799,0.00336618280962028,0.00616879655156657,0.00686944998705314,0.00616879655156657,0.00280261374194629,0.00560522748389259,0.00295492970618251,0.00814890408663732,0.00228473946354317,0.00167547560659833,0.00708269233698384,0.00513304799476033
