"Goal" "word" "n" "tf" "idf" "tf_idf"
"265" 16 "paid" 2 0.00476190476190476 2.83321334405622 0.0134914921145534
"266" 16 "past" 2 0.00476190476190476 2.83321334405622 0.0134914921145534
"267" 16 "resolution" 2 0.00476190476190476 2.83321334405622 0.0134914921145534
"268" 16 "responsive" 2 0.00476190476190476 2.83321334405622 0.0134914921145534
"269" 16 "torture" 2 0.00476190476190476 2.83321334405622 0.0134914921145534
"270" 17 "south" 9 0.0145631067961165 2.83321334405622 0.0412603885056731
"271" 17 "debt" 7 0.0113268608414239 2.83321334405622 0.0320914132821902
"272" 17 "partnerships" 5 0.00809061488673139 2.83321334405622 0.0229224380587072
"273" 17 "statistical" 5 0.00809061488673139 2.83321334405622 0.0229224380587072
"274" 17 "exports" 4 0.00647249190938511 2.83321334405622 0.0183379504469658
"275" 17 "gni" 4 0.00647249190938511 2.83321334405622 0.0183379504469658
"276" 17 "goals" 4 0.00647249190938511 2.83321334405622 0.0183379504469658
"277" 17 "oda" 4 0.00647249190938511 2.83321334405622 0.0183379504469658
"278" 17 "coherence" 3 0.00485436893203883 2.83321334405622 0.0137534628352243
"279" 17 "north" 3 0.00485436893203883 2.83321334405622 0.0137534628352243
"280" 17 "triangular" 3 0.00485436893203883 2.83321334405622 0.0137534628352243
"281" 17 "building" 5 0.00809061488673139 1.44691898293633 0.0117064642632389
"282" 17 "enhance" 9 0.0145631067961165 0.75377180237638 0.0109772592579084
"283" 17 "terms" 3 0.00485436893203883 2.14006616349627 0.0103886706965838
"284" 17 "achievement" 2 0.00323624595469256 2.83321334405622 0.0091689752234829
"285" 17 "additional" 2 0.00323624595469256 2.83321334405622 0.0091689752234829
"286" 17 "committed" 2 0.00323624595469256 2.83321334405622 0.0091689752234829
"287" 17 "coordination" 2 0.00323624595469256 2.83321334405622 0.0091689752234829
"288" 17 "diffusion" 2 0.00323624595469256 2.83321334405622 0.0091689752234829
"289" 17 "dissemination" 2 0.00323624595469256 2.83321334405622 0.0091689752234829
"290" 17 "dollar" 2 0.00323624595469256 2.83321334405622 0.0091689752234829
"291" 17 "funded" 2 0.00323624595469256 2.83321334405622 0.0091689752234829
"292" 17 "macroeconomic" 2 0.00323624595469256 2.83321334405622 0.0091689752234829
"293" 17 "multi" 2 0.00323624595469256 2.83321334405622 0.0091689752234829
"294" 17 "multiple" 2 0.00323624595469256 2.83321334405622 0.0091689752234829
"295" 17 "mutually" 2 0.00323624595469256 2.83321334405622 0.0091689752234829
"296" 17 "preferential" 2 0.00323624595469256 2.83321334405622 0.0091689752234829
"297" 17 "providers" 2 0.00323624595469256 2.83321334405622 0.0091689752234829
"298" 17 "regimes" 2 0.00323624595469256 2.83321334405622 0.0091689752234829
"299" 17 "rules" 2 0.00323624595469256 2.83321334405622 0.0091689752234829
"300" 17 "stakeholder" 2 0.00323624595469256 2.83321334405622 0.0091689752234829
